booking_id,game_id,employee_id,location_id,booking_date,num_players,total_cost,tip_received
1,31,30,1,2022-04-03,8,80,16.0
2,83,35,1,2022-09-23,10,100,10.0
3,70,21,1,2021-12-11,7,70,14.0
4,71,20,2,2022-09-25,6,60,9.124397989683102
5,84,22,2,2022-07-18,8,80,8.0
6,65,24,2,2022-07-03,9,90,13.857194426906032
7,53,28,1,2021-11-28,9,90,9.573287937485492
8,34,19,2,2021-07-17,7,70,14.0
9,138,4,1,2021-09-13,7,70,11.996852992233174
10,2,21,2,2021-09-21,8,80,11.628447512055013
11,117,22,2,2021-08-11,9,90,18.0
12,1,18,1,2021-05-10,8,80,8.820653965895938
13,52,17,1,2021-02-18,8,80,12.803560103118052
14,111,6,1,2022-09-24,10,100,10.0
15,16,21,1,2021-03-08,7,70,14.0
16,139,19,2,2022-01-02,9,90,13.458708001099557
17,54,38,1,2022-05-01,7,70,7.0
18,29,17,2,2022-11-16,10,100,11.165607271529465
19,13,17,2,2022-08-07,8,80,15.288527128984724
20,11,33,2,2022-05-23,9,90,16.16969907647017
21,25,9,1,2021-05-03,9,90,15.198911549500595
22,89,3,1,2021-11-12,9,90,18.0
23,75,20,1,2021-11-07,9,90,17.403441263710707
24,30,16,2,2021-07-24,8,80,9.904399726459392
25,132,4,2,2022-01-01,8,80,16.0
26,18,35,2,2021-12-24,7,70,8.757465457538462
27,88,22,2,2021-01-01,7,70,12.25893446841376
28,150,35,2,2021-01-14,9,90,10.348206199430805
29,95,21,2,2022-08-09,7,70,14.0
30,136,10,1,2021-12-28,11,110,22.0
31,146,28,2,2022-05-12,7,70,12.542162911583873
32,81,11,1,2022-11-19,10,100,20.0
33,23,29,2,2021-05-02,8,80,11.238822704580825
34,19,8,1,2022-02-21,7,70,13.300259459332906
35,33,38,2,2021-06-13,7,70,10.487261360074557
36,117,30,1,2022-08-02,9,90,13.170915012378623
37,25,29,2,2022-03-16,7,70,8.740631850459645
38,63,13,1,2021-02-28,8,80,8.425421049623914
39,57,32,1,2021-06-22,7,70,7.0
40,87,11,1,2021-09-19,9,90,18.0
41,39,3,1,2022-06-20,9,90,16.444881249457392
42,25,32,1,2021-05-21,7,70,7.613565228762154
43,112,19,2,2021-12-19,8,80,9.966578320102574
44,79,33,1,2021-08-13,8,80,16.0
45,140,30,1,2021-08-28,11,110,11.0
46,44,29,1,2022-07-28,8,80,14.25954359804232
47,138,8,2,2022-03-25,7,70,7.0
48,98,7,1,2022-05-24,10,100,18.21646352980642
49,64,21,1,2022-08-20,7,70,14.0
50,125,21,2,2021-04-11,9,90,9.0
51,81,33,1,2021-11-02,8,80,16.0
52,148,13,2,2021-08-22,9,90,15.969552992111627
53,66,11,1,2021-10-17,7,70,8.812823275219841
54,103,24,1,2022-02-26,10,100,10.0
55,110,2,2,2022-12-25,8,80,9.788336421713678
56,115,31,1,2022-01-08,7,70,12.116836990910567
57,57,31,1,2022-09-06,7,70,13.315049300166866
58,149,21,1,2022-02-26,12,120,20.561156582163797
59,40,2,1,2022-03-07,9,90,18.0
60,124,26,1,2021-07-19,9,90,9.0
61,63,17,2,2022-11-08,9,90,18.0
62,80,23,1,2021-05-24,7,70,7.536729910596934
63,68,18,1,2021-06-20,8,80,13.492315278563591
64,23,36,2,2021-02-14,10,100,12.585271954172462
65,93,35,2,2022-06-05,8,80,8.57913967370402
66,112,2,2,2021-10-10,8,80,9.802700768149391
67,35,15,2,2022-06-05,8,80,13.22353590677967
68,96,32,2,2022-05-25,8,80,13.017294683405998
69,1,8,2,2021-05-10,9,90,9.0
70,113,39,1,2022-10-20,6,60,6.0
71,40,33,1,2021-06-24,9,90,10.619149542596476
72,30,18,2,2021-02-12,8,80,13.523454126683635
73,14,26,1,2022-06-04,7,70,14.0
74,32,11,2,2021-03-18,7,70,13.027331590157134
75,95,23,2,2021-09-20,6,60,10.650041930026271
76,98,37,1,2022-12-04,9,90,9.0
77,38,6,2,2021-02-14,9,90,15.694553053513072
78,134,6,1,2022-07-01,12,120,13.059009113582313
79,48,33,1,2021-03-24,9,90,14.320240039125332
80,25,11,2,2022-12-20,8,80,14.743870688494553
81,87,16,1,2021-09-07,9,90,15.473442324697634
82,107,10,1,2022-11-05,9,90,11.514529363276827
83,49,32,2,2021-03-14,7,70,14.0
84,106,36,2,2021-04-05,9,90,11.119306701339347
85,96,32,1,2021-01-28,6,60,10.623403864662231
86,47,27,1,2021-08-15,10,100,12.488761540537846
87,126,25,2,2021-05-17,9,90,12.827493022658697
88,86,14,2,2022-07-17,10,100,12.449983979681376
89,122,2,2,2021-06-23,9,90,9.0
90,63,9,1,2022-11-26,8,80,14.593441294219062
91,54,22,2,2022-09-12,7,70,14.0
92,83,2,2,2021-05-27,10,100,18.917534838886077
93,120,14,1,2021-05-09,10,100,14.9419294814527
94,27,28,1,2022-02-07,8,80,15.43944675010172
95,150,35,2,2021-08-11,9,90,16.805030327325106
96,41,36,1,2021-12-03,7,70,14.0
97,33,18,1,2021-10-23,7,70,8.52483001008469
98,10,20,2,2022-07-26,9,90,14.835100225325096
99,8,34,1,2021-07-24,7,70,7.313885229561741
100,36,10,2,2022-05-25,7,70,10.720801037935054
101,5,35,2,2021-07-15,6,60,10.062818263115718
102,40,1,1,2022-05-15,8,80,11.555156894785153
103,90,25,1,2022-09-18,8,80,16.0
104,18,34,2,2022-09-11,9,90,16.538354534138215
105,57,15,2,2021-01-23,7,70,12.274068738221931
106,13,12,2,2021-09-12,8,80,15.503698409431763
107,30,3,2,2022-03-23,8,80,13.648662179214213
108,100,6,1,2021-11-19,10,100,16.336435557580195
109,144,3,2,2022-02-13,8,80,16.0
110,27,20,2,2021-12-26,7,70,9.878417424200949
111,108,5,1,2021-09-04,9,90,12.653081704974982
112,19,18,2,2022-09-06,7,70,8.876731818211887
113,45,10,1,2021-02-04,10,100,16.333501614263824
114,92,11,2,2021-11-22,6,60,12.0
115,95,30,2,2022-07-02,7,70,7.0
116,35,4,2,2021-05-01,8,80,11.745617856667105
117,58,13,1,2021-12-04,10,100,10.0
118,8,19,1,2022-02-27,7,70,9.124138471721125
119,48,9,1,2021-12-03,7,70,11.866463724555645
120,143,21,1,2021-12-21,9,90,14.37810372695283
121,116,15,1,2021-08-18,11,110,11.0
122,117,27,1,2021-09-01,12,120,22.49778060722325
123,52,17,1,2022-02-05,8,80,14.039558903784673
124,49,28,1,2022-04-16,7,70,14.0
125,110,22,2,2022-11-19,9,90,14.933446531409928
126,44,37,2,2022-12-11,8,80,8.0
127,28,30,1,2021-03-04,8,80,15.408261943823625
128,98,14,2,2021-12-17,10,100,20.0
129,107,21,1,2021-01-20,8,80,10.69669516941875
130,149,36,1,2022-10-16,10,100,20.0
131,80,34,2,2022-01-18,6,60,8.94610678997428
132,53,26,2,2022-08-09,9,90,14.534470238123044
133,20,27,1,2021-09-22,9,90,18.0
134,135,11,1,2022-07-27,8,80,16.0
135,90,34,1,2021-08-22,8,80,15.977171481977054
136,126,27,2,2022-04-07,8,80,8.0
137,60,38,1,2022-03-12,8,80,10.345493681965412
138,101,28,2,2022-12-26,9,90,18.0
139,126,29,2,2021-05-28,8,80,13.178136011661273
140,34,1,1,2021-11-14,7,70,12.408193864682994
141,134,12,1,2021-04-19,11,110,11.0
142,53,7,2,2021-12-05,9,90,15.955117525006496
143,118,3,1,2021-07-25,7,70,7.0
144,48,4,2,2022-03-03,8,80,11.581202602324094
145,88,12,1,2021-04-26,8,80,15.715574279320602
146,124,3,1,2022-01-06,10,100,20.0
147,81,2,2,2021-08-06,8,80,13.172640890431481
148,108,24,2,2021-06-05,9,90,18.0
149,106,24,2,2021-11-06,8,80,10.475163973846762
150,89,24,1,2022-07-02,10,100,16.643937368052505
151,112,16,2,2022-04-24,8,80,8.0
152,115,36,2,2021-03-01,6,60,6.341934198790526
153,63,25,1,2022-10-27,8,80,8.0
154,71,12,2,2021-12-16,8,80,11.246481310394477
155,37,28,2,2022-01-20,6,60,11.380045675297772
156,39,12,1,2021-09-12,8,80,10.47043459546514
157,126,38,2,2022-08-05,9,90,14.801777098003395
158,60,20,1,2022-09-04,9,90,18.0
159,66,35,1,2021-11-14,7,70,8.303070282615378
160,92,29,2,2022-06-14,6,60,11.012302807224136
161,57,36,2,2022-02-01,8,80,13.47119840378263
162,78,20,2,2021-03-27,7,70,7.548068187090344
163,81,38,1,2022-11-03,9,90,13.19396081752349
164,75,30,1,2021-12-25,9,90,9.149164630828585
165,54,7,2,2022-10-02,7,70,9.923858695392967
166,100,7,1,2021-03-08,11,110,15.332613901489603
167,38,27,2,2021-05-26,9,90,13.907342540101633
168,81,33,1,2022-10-08,10,100,15.48188212478061
169,134,6,1,2022-08-17,10,100,15.131634789578948
170,3,10,2,2021-06-13,9,90,14.249674586195718
171,74,21,1,2022-04-03,11,110,17.932727535171026
172,91,7,2,2022-07-03,8,80,16.0
173,143,32,1,2021-08-09,9,90,16.340865746049868
174,50,33,2,2021-07-06,7,70,7.0
175,107,14,1,2021-08-04,8,80,8.857858835830342
176,149,37,2,2021-06-13,11,110,20.195478891993798
177,19,3,1,2022-03-20,7,70,10.322053391933869
178,33,2,1,2022-03-19,8,80,13.970098760656429
179,1,32,2,2021-09-17,9,90,9.071434299857298
180,42,6,2,2021-03-18,8,80,8.0
181,125,7,2,2021-02-14,8,80,12.845421200187701
182,124,34,1,2022-10-15,11,110,22.0
183,42,14,2,2022-01-09,8,80,13.89348259275475
184,64,24,2,2021-11-15,7,70,10.878471575831286
185,37,23,2,2021-09-05,6,60,12.0
186,142,24,2,2021-11-21,8,80,16.0
187,8,21,1,2022-01-02,7,70,7.0
188,18,19,1,2021-05-13,7,70,10.435055806528142
189,25,10,1,2022-07-21,8,80,8.716565766219855
190,57,14,1,2021-09-20,8,80,11.578806804702674
191,136,28,2,2022-04-02,11,110,16.68871283996161
192,94,15,1,2021-05-11,9,90,15.25677035548234
193,71,28,1,2021-10-09,7,70,13.48582812548533
194,83,36,1,2021-10-27,9,90,9.0
195,67,23,1,2021-05-15,9,90,18.0
196,46,30,1,2022-07-22,11,110,13.375992023813735
197,72,5,1,2021-08-23,9,90,14.759794067038802
198,128,14,2,2022-03-06,6,60,6.0
199,10,21,1,2021-01-10,10,100,17.956207523888853
200,131,3,1,2021-05-18,7,70,14.0
201,57,22,2,2022-02-23,7,70,14.0
202,11,16,1,2021-06-06,9,90,9.0
203,17,16,2,2022-05-20,8,80,13.235924946531194
204,17,2,1,2021-09-02,7,70,7.0
205,41,9,2,2022-02-26,8,80,15.285468834918172
206,108,8,2,2022-03-06,9,90,16.386344287989818
207,95,18,1,2022-11-22,7,70,8.084062753796562
208,53,21,1,2022-06-22,8,80,16.0
209,148,9,2,2022-12-15,8,80,8.0
210,131,14,1,2021-03-22,9,90,11.469334822230307
211,133,13,1,2021-04-06,8,80,16.0
212,135,18,2,2021-09-11,8,80,15.52485484767924
213,74,30,1,2022-12-08,10,100,10.956280083998655
214,27,4,1,2022-01-28,7,70,8.304290332066525
215,120,18,2,2022-02-10,8,80,11.210325923960365
216,100,13,2,2022-10-24,10,100,13.589575721134093
217,52,28,1,2022-09-03,8,80,16.0
218,100,38,2,2022-12-06,10,100,17.09622815788354
219,16,27,1,2022-08-27,7,70,14.0
220,120,39,1,2022-12-03,8,80,11.714244895302341
221,121,7,1,2021-10-10,11,110,20.160507362034256
222,117,13,2,2021-11-17,10,100,11.925847978783217
223,12,6,2,2021-10-24,8,80,16.0
224,135,13,1,2021-02-13,8,80,12.48054321671708
225,87,15,2,2021-03-10,9,90,18.0
226,87,37,2,2022-11-28,9,90,12.70191037184823
227,56,30,1,2021-03-18,9,90,12.521744120932688
228,48,6,1,2022-03-27,7,70,14.0
229,75,20,2,2022-04-26,9,90,14.526450538744557
230,91,3,2,2022-07-03,9,90,9.0
231,148,27,1,2021-12-26,9,90,15.719396998480873
232,141,27,1,2022-10-20,7,70,13.197295450495325
233,66,12,2,2022-01-10,7,70,14.0
234,76,23,1,2022-06-27,10,100,10.862297403535756
235,55,19,2,2022-05-08,8,80,11.365183120978411
236,29,8,1,2022-09-10,8,80,16.0
237,30,24,1,2021-07-28,8,80,8.0
238,41,39,1,2022-06-06,8,80,14.752721998962953
239,107,26,1,2022-08-21,9,90,12.82752619469102
240,91,3,2,2021-01-12,7,70,8.38062997858484
241,107,32,2,2022-04-11,6,60,7.210250271754471
242,81,34,1,2021-03-20,8,80,15.636228788447493
243,56,9,2,2021-09-17,9,90,16.4603513927621
244,96,12,2,2021-09-15,8,80,16.0
245,51,20,1,2021-07-02,9,90,18.0
246,71,18,1,2022-12-26,8,80,8.0
247,103,32,1,2021-01-01,10,100,20.0
248,16,4,2,2022-03-13,7,70,9.529646768332624
249,118,34,2,2022-06-09,7,70,11.257218353890647
250,146,11,2,2022-11-19,8,80,12.345375484227022
251,85,17,2,2022-10-09,9,90,13.12123629694837
252,2,3,1,2021-06-20,9,90,16.56026383768109
253,115,20,1,2021-09-15,6,60,6.0
254,26,5,2,2022-07-12,6,60,9.94981560480985
255,58,5,2,2021-10-07,9,90,18.0
256,148,8,2,2021-03-03,7,70,11.739758915872335
257,100,30,1,2022-07-14,10,100,11.39093626060021
258,67,34,1,2022-09-24,8,80,10.389727495960816
259,143,28,1,2022-08-01,8,80,8.0
260,61,1,1,2022-07-10,9,90,14.557807774456478
261,51,12,1,2021-12-19,9,90,9.0
262,59,21,1,2021-04-25,8,80,16.0
263,87,25,2,2022-01-16,8,80,9.435538379548952
264,20,19,2,2022-09-11,12,120,16.103533646331798
265,55,9,1,2021-11-07,9,90,9.0
266,137,29,2,2021-09-16,9,90,18.0
267,76,34,2,2021-03-14,8,80,16.0
268,74,12,2,2021-08-22,7,70,14.0
269,146,39,2,2022-02-05,8,80,9.260524779494165
270,71,1,2,2021-11-01,8,80,16.0
271,41,33,2,2021-06-21,8,80,8.09841821371564
272,11,15,1,2021-07-03,8,80,16.0
273,98,10,1,2021-05-08,10,100,10.0
274,30,11,1,2021-06-12,8,80,16.0
275,149,10,1,2022-08-14,12,120,12.0
276,96,18,1,2022-04-01,7,70,7.0
277,48,9,1,2022-07-10,9,90,11.816503848016461
278,143,29,1,2022-10-07,7,70,7.0
279,61,3,2,2021-07-01,9,90,10.470004853452458
280,81,27,2,2021-03-28,11,110,22.0
281,56,6,1,2022-01-08,8,80,12.483120335676125
282,94,35,1,2021-08-26,8,80,8.0
283,20,17,1,2021-10-19,9,90,13.90146731127172
284,19,37,2,2021-08-13,9,90,17.402503828403137
285,59,6,2,2022-11-19,8,80,11.714604684898896
286,7,19,2,2022-11-07,10,100,13.706683183990114
287,118,31,2,2021-07-18,6,60,7.041384965545237
288,22,24,2,2021-05-18,8,80,16.0
289,145,24,2,2021-08-19,8,80,10.853889951919998
290,78,26,2,2021-09-04,7,70,11.363137869628776
291,2,32,2,2021-02-13,9,90,13.611991234658532
292,28,9,1,2022-12-25,8,80,12.146989944069647
293,55,20,1,2021-08-02,7,70,7.0
294,71,13,1,2022-07-24,6,60,12.0
295,39,4,1,2022-04-09,8,80,15.950505821811042
296,143,8,2,2021-11-28,9,90,14.987261065190406
297,29,31,2,2022-03-03,9,90,12.191259623545417
298,73,28,1,2021-09-13,9,90,18.0
299,91,10,2,2021-09-21,6,60,6.290762209959536
300,72,7,1,2022-02-19,7,70,7.0
301,85,37,1,2021-08-20,8,80,11.366626239083757
302,83,12,2,2021-09-21,9,90,10.28469109789157
303,116,8,1,2021-08-14,9,90,10.262225845083865
304,57,34,1,2021-06-15,9,90,9.078976912065311
305,148,6,1,2022-11-26,8,80,13.741850523305178
306,70,24,1,2021-03-14,9,90,9.518335749275678
307,121,23,2,2021-12-23,8,80,15.755942609659712
308,119,8,2,2021-01-17,7,70,14.0
309,115,12,1,2022-02-20,7,70,11.203165085673435
310,20,31,2,2021-06-19,10,100,15.35827050967941
311,94,35,2,2021-01-25,8,80,16.0
312,50,23,1,2021-11-14,8,80,12.317238459736675
313,42,12,2,2022-04-02,7,70,7.0
314,32,36,2,2022-09-14,10,100,19.54671580259231
315,96,5,2,2021-09-26,7,70,13.963400818975401
316,44,20,2,2021-04-26,8,80,11.24377060755515
317,145,3,1,2022-09-14,8,80,8.0
318,11,18,1,2022-05-28,8,80,14.129765726068488
319,72,38,2,2022-07-21,7,70,8.939150207665525
320,118,36,2,2021-07-24,7,70,8.53260376583989
321,134,7,2,2021-11-28,10,100,11.66651237145974
322,144,16,2,2021-01-26,9,90,18.0
323,63,11,1,2021-12-26,9,90,17.721550540219575
324,14,21,1,2022-07-23,7,70,14.0
325,134,3,1,2022-11-05,11,110,11.827177286625101
326,5,7,1,2022-10-15,6,60,9.165956534098228
327,124,12,1,2021-08-11,11,110,11.0
328,43,28,2,2022-11-11,9,90,16.949639986732947
329,28,19,1,2022-06-15,10,100,10.999309529819866
330,110,38,1,2021-03-11,11,110,15.492030345265778
331,83,33,1,2022-02-26,9,90,12.91894943358703
332,22,18,2,2021-08-01,8,80,9.679325850537179
333,147,16,1,2022-01-01,11,110,18.404388667810117
334,72,31,2,2022-05-14,7,70,12.518758019178364
335,33,25,1,2021-02-19,8,80,11.989430652585996
336,130,38,2,2021-09-03,10,100,10.037657209307763
337,48,8,1,2022-10-23,9,90,18.0
338,40,28,1,2021-06-21,8,80,8.0
339,28,28,1,2021-08-20,10,100,20.0
340,102,29,1,2022-11-19,12,120,12.0
341,89,33,2,2021-03-23,9,90,9.0
342,55,22,1,2022-04-02,10,100,20.0
343,124,26,1,2022-09-11,11,110,16.7649582376465
344,31,36,2,2022-12-24,7,70,8.732716944252035
345,42,36,2,2021-10-17,7,70,11.282501011401122
346,118,28,2,2021-02-07,6,60,6.0
347,38,6,1,2021-12-11,9,90,18.0
348,119,16,2,2022-10-13,8,80,10.969027897676643
349,7,13,2,2021-09-12,10,100,11.257378343319235
350,149,29,2,2021-02-01,10,100,19.343013730373208
351,7,35,1,2021-08-01,10,100,20.0
352,117,30,1,2021-09-11,11,110,17.141617513208764
353,35,1,1,2021-10-18,8,80,9.129284717439948
354,38,32,2,2021-07-24,8,80,15.66612290462211
355,31,3,2,2021-04-23,10,100,18.169695815739594
356,30,16,2,2021-04-09,8,80,14.935716835707256
357,86,28,1,2022-08-02,9,90,11.29314444207037
358,70,35,2,2022-01-19,8,80,8.498798226003005
359,118,15,2,2022-03-20,7,70,9.575615748264964
360,135,12,1,2021-09-24,8,80,8.0
361,74,7,1,2022-12-06,11,110,18.10590860316581
362,31,14,1,2022-06-04,9,90,9.0
363,51,16,1,2022-03-22,9,90,9.0
364,148,13,2,2022-12-20,8,80,8.251842887697634
